trialID,P1,P10,P11,P2,P3,P4,P5,P6,P7,P8,P9
1,2.4460869565217394,0.7828109756097561,4.68897520661157,10.674162534435261,1.587421052631579,4.823169230769231,4.281891428571429,1.3326736842105262,1.4477843137254902,2.132764705882353,4.181703125
2,3.1605476190476187,7.801933014354067,5.327474402730376,11.78763076923077,8.670575999999999,6.123089514066496,4.472285714285714,6.453900826446281,2.7280814814814813,2.2512649572649575,1.4914179104477612
3,8.073405063291139,6.096609756097561,4.327589285714286,9.639060606060605,2.3025982905982905,4.922864864864865,2.037079365079365,8.060930481283423,0.8032105263157895,2.2543142857142855,8.354347712418301
4,3.500307692307693,5.505264317180616,7.431825581395349,11.372418032786884,4.308857142857144,0.9077708333333333,9.946848275868966,5.00546875,1.1154285714285714,1.0605806451612902,4.266377952755906
5,2.688054054054054,3.637472972972973,5.955653465346535,7.766462032085562,2.8184913793103448,9.934362068965516,2.6223529411764708,1.831270588235294,,1.536659090909091,6.630354289551111
6,2.163473684210526,3.373050314465409,6.764374489795919,8.413146341463415,2.5143333333333335,1.0365070422535212,3.3813246753246755,0.937378640776699,1.2054256410153847,2.1098380952328575,3.345920552673575
7,1.8842204724409448,6.954454081632654,5.344106060606061,4.125235294117647,2.6590175438596493,3.0682222222222224,1.5304918032786885,2.460950495049505,2.2634545454545454,1.0893809523809523,1.1945000000000001
8,3.1612658227848103,3.6583460207612455,4.599804878048781,4.766933333333333,2.2167083333333335,1.448896551724138,3.648573770491803,0.4280952380952381,2.23456,0.6583125000000001,2.3713125
9,2.333463414634146,3.479606936416185,4.0779487179487175,6.336165217391304,2.273392405063291,1.2878367346938775,1.8869811320754717,3.602869565217391,0.195,1.1197894736842104,8.446456790123458
10,9.656104046242776,2.210223214285714,4.785434210526316,8.838323353293413,3.5705,6.0534111842105265,7.361673640167364,1.6512244897959183,2.1404285714285716,2.861483870967742,2.45152
11,2.4046666666666665,6.66000193236715,6.2706748466257665,9.107192307692308,5.912740740740741,3.475019512195122,6.497198511166253,5.6280526316052635,0.13,2.317081081081081,2.0853305439330545
12,1.0265106382978724,4.8600703125,6.7273037974683545,5.870590909090908,2.3053032258064516,8.83665,3.6897951807228915,3.494486301369863,4.609,0.7046956521739132,0.3461818181818182
13,3.174760563380282,4.417782945736434,7.7091656441717795,4.303018018018018,2.5275723270440253,6.12941908713693,1.1732727272727272,0.4123,5.0550625,0.41333333333333333,6.123892961078534
14,1.7760246913580247,5.0509544235924935,1.439,4.45681081081081,3.5233846153846153,4.24655305466238,4.078875,0.186875,4.088625,0.9981777777777777,3.560411214953271
15,3.028492957746479,4.591181818181819,6.57913698630137,4.569680672268908,2.8438461538461537,3.867123287671233,3.0204750000000002,1.443625,4.161013157894737,4.0223157894736845,3.6156119402985074
16,2.292842105263158,10.38007874015748,3.9686206896551726,4.5904444444444445,7.327641025641026,10.030460258780037,3.930861111111111,1.8203272727272726,1.4007500000000002,3.768915887850467,5.193428571428571
